nome,nacionalidade,contribuicao_chave,bio
"Gottfried Wilhelm Leibniz","Alemão","Formalização do sistema binário e cálculo mecânico","(1646-1716). Polímata que descreveu a aritmética binária em 'Explication de l'Arithmétique Binaire' (1703), conectando representação simbólica e operação mecânica. Seu desenho do Step Reckoner mostrou uma trilha prática entre matemática discreta e automação de cálculo. Fontes: Internet Archive (Acta Eruditorum, 1703), Encyclopaedia Britannica."
"Blaise Pascal","Francês","Calculadora mecânica Pascaline","(1623-1662). Projetou a Pascaline para automatizar soma/subtração com engrenagens, antecipando a mecanização de tarefas contábeis. Fontes: CHM, Musée des Arts et Métiers."
"Joseph-Marie Jacquard","Francês","Controle por cartões perfurados","(1752-1834). O tear de Jacquard mostrou como instruções físicas codificadas podiam controlar sequências complexas, influenciando programação mecânica posterior. Fontes: Smithsonian, Britannica."
"George Boole","Britânico","Lógica booleana","(1815-1864). Em 'An Investigation of the Laws of Thought' (1854) transformou lógica em álgebra simbólica, base para circuitos digitais e para a semântica formal de computação. Influenciou diretamente a interpretação de comutação em engenharia elétrica no século XX. Fontes: Internet Archive, CHM/Britannica."
"Augustus De Morgan","Britânico","Leis de De Morgan","(1806-1871). Formalizou transformações lógicas complementares usadas em simplificação de expressões booleanas e projeto de circuitos digitais. Fontes: MacTutor, Britannica."
"Isaac Newton","Inglês","Método de diferenças finitas","(1643-1727). Em obras como Principia e tratados matemáticos, consolidou técnicas de diferenças finitas e métodos numéricos que posteriormente influenciaram automação de cálculo tabular. Fonte: Royal Society/Britannica."
"Carl Friedrich Gauss","Alemão","Métodos numéricos e eliminação","(1777-1855). Desenvolveu técnicas de eliminação e interpolação fundamentais para computação científica e algoritmos lineares modernos. Fontes: Göttingen archives, Britannica."
"Ada Lovelace","Britânica","Primeiro algoritmo publicado para máquina de propósito geral","(1815-1852). Nas notas sobre a Analytical Engine (1843), descreveu um método computacional para números de Bernoulli e antecipou o conceito de software separado de hardware. Colaboração intelectual direta com Charles Babbage. Fonte primária: tradução de Menabrea com notas de Lovelace (1843)."
"Charles Babbage","Inglês","Arquitetura de computação mecânica programável","(1791-1871). Projetou Difference Engine e Analytical Engine para automatizar tabelas e cálculo geral com controle por cartões. Converteu teoria numérica em engenharia mecânica escalável para sua época. Fontes: Computer History Museum, Science Museum Group."
"Herman Hollerith","Americano","Tabulação eletromecânica","(1860-1929). Aplicou cartões perfurados ao censo, reduzindo drasticamente tempo de processamento e inaugurando data processing industrial. Fontes: US Census Bureau, IBM archives."
