nome,tipo,ano,material,impacto
"Pascaline","Mecânico","1642","Metal e engrenagens","Automatizou aritmética básica em contexto administrativo/comercial."
"Step Reckoner","Mecânico","1673","Metal e engrenagens","Demonstrou viabilidade de automatizar operações aritméticas repetitivas por mecanismo físico."
"Tear de Jacquard","Mecânico Programável","1804","Metal, madeira e cartões perfurados","Introduziu controle programável por cartões, influenciando computação programável."
"Difference Engine","Mecânico","1822","Bronze, aço e engrenagens","Automatizou cálculo tabular por diferenças finitas, reduzindo erro humano em tabelas numéricas."
"Analytical Engine","Mecânico Programável","1837","Metal, cartões perfurados","Antecipou CPU, memória e programação condicional em uma arquitetura geral."
"Tabulador de Hollerith","Eletromecânico","1890","Relés e cartões perfurados","Industrializou processamento de dados em larga escala para censos e negócios."
"Computadores a Válvulas","Eletrônico","1945","Válvulas termiônicas","Entregaram alto desempenho para a época, mas com grande consumo, calor e baixa confiabilidade."
"Transistor de Junção","Semicondutor","1947","Germânio/Silício","Substituiu válvulas com menor consumo, maior durabilidade e potencial de miniaturização."
"MOSFET","Semicondutor","1959","Silício e óxido","Permitiu altíssima integração e baixo consumo, tornando viável a VLSI."
"Processo Planar em Silício","Processo de Fabricação","1959","Silício e dióxido de silício","Aumentou rendimento e confiabilidade fabril, atacando a tirania dos números por integração padronizada."
"Circuito Integrado","Semicondutor","1958","Silício","Integra múltiplos componentes no mesmo chip e reduz interconexões discretas, custo e falhas."
"DRAM","Memória Semicondutora","1968","Silício","Aumentou densidade e reduziu custo da memória principal, ampliando capacidade de software."
"Microprocessador","Semicondutor","1971","Silício","Concentrou CPU em um chip, tornando computação pessoal e embarcada economicamente viável."
"Ethernet","Software/Network","1973","Cabos, controladores e software","Padronizou LANs de alta eficiência e interoperabilidade em ambientes corporativos e acadêmicos."
"ARPANET NCP","Software/Network","1970","Software de rede","Primeira pilha operacional de host-to-host da ARPANET, mas sem internetworking robusto entre redes heterogêneas."
"Protocolo TCP/IP","Software/Network","1983","Software de rede","Padronizou internetworking fim a fim e habilitou expansão global da Internet."
"World Wide Web","Software/Protocolos","1989","Software e padrões abertos","Democratizou publicação e navegação hipertextual na infraestrutura da Internet."
"GPU Programável","Hardware Paralelo","2006","Silício","Escalou operações matriciais massivas, acelerando treinamento de redes neurais profundas."
"CUDA","Software Plataforma","2007","Software","Transformou GPU em plataforma geral de computação paralela para IA e HPC."
"TPU","Acelerador de IA","2016","Silício","Otimizou inferência e treino de redes neurais com eficiência energética superior em data centers."
"Modelos Transformer em Larga Escala","Software/IA","2018","Silício + software distribuído","Atingiram ganhos substanciais em linguagem natural por pretreino massivo e atenção."
"Modelos GPT","Software/IA","2022","Silício","Popularizaram IA generativa conversacional em escala de consumo e empresas."
