nome,ano_proposta,paper,problema_resolvido,impacto
"Aritmética Decimal Mecânica","1642","Pascaline design notes","Automatizar operações contábeis repetitivas com baixa taxa de erro humano","Precedente para cálculo mecanizado confiável."
"Sistema Binário de Leibniz","1703","Explication de l'Arithmétique Binaire","Representar cálculo e informação com dois símbolos estáveis (0 e 1)","Base universal de codificação digital e design lógico de máquinas."
"Método de Diferenças Finitas","1687","Philosophiae Naturalis Principia Mathematica","Aproximar funções contínuas por variações discretas para cálculo mecanizável","Fundamentou automação de tabelas numéricas e influenciou máquinas de cálculo mecânico."
"Lógica Booleana","1854","An Investigation of the Laws of Thought","Formalizar inferência lógica em álgebra manipulável","Permitiu mapear lógica abstrata para portas e circuitos digitais."
"Leis de De Morgan","1847","Formal Logic","Simplificar expressões lógicas complexas para implementação prática","Base algébrica de otimização de circuitos e compiladores lógicos."
"Cálculo Lambda","1936","An Unsolvable Problem of Elementary Number Theory","Formalizar computação por abstração e aplicação de funções","Pilar de linguagens funcionais e semântica formal."
"Máquina de Turing e Computabilidade","1936","On Computable Numbers, with an Application to the Entscheidungsproblem","Definir limite formal do que pode ser computado por procedimento efetivo","Fundamento teórico da ciência da computação e análise de decidibilidade/complexidade."
"Arquitetura de Programa Armazenado","1945","First Draft of a Report on the EDVAC","Unificar instruções e dados em memória para execução flexível","Modelo dominante de computadores de propósito geral."
"Teoria da Informação","1948","A Mathematical Theory of Communication","Quantificar informação e limites de transmissão sob ruído","Estabeleceu entropia, capacidade de canal e compressão, base de telecom e dados."
"Comutação de Pacotes","1964","On Distributed Communications","Garantir resiliência e eficiência no transporte em redes distribuídas","Fundamento da internet moderna e da multiplexação estatística."
"Princípio End-to-End","1981","End-to-End Arguments in System Design","Decidir responsabilidades entre borda e núcleo de rede","Guiou arquitetura de protocolos escaláveis e interoperáveis."
"Modelo de Neurônio Artificial (Perceptron)","1958","The Perceptron: A Probabilistic Model for Information Storage and Organization in the Brain","Aprender fronteiras de decisão a partir de exemplos","Marco inicial de aprendizado de máquina conexionista."
"Retropropagação em Redes Neurais","1986","Learning representations by back-propagating errors","Treinar redes multicamadas minimizando erro de forma eficiente","Viabilizou redes profundas modernas e aprendizado de representações."
"LSTM","1997","Long Short-Term Memory","Mitigar gradientes que desaparecem em dependências temporais longas","Avanço-chave para modelagem sequencial pré-transformer."
"Redes Convolucionais Modernas","1998","Gradient-Based Learning Applied to Document Recognition","Explorar invariâncias espaciais em visão computacional","Consolidou deep learning aplicado em OCR e visão, precursor de sistemas industriais de percepção."
"GANs","2014","Generative Adversarial Nets","Aprender distribuição de dados por competição gerador-discriminador","Impulsionou síntese realista de imagens, áudio e dados sintéticos."
"Mecanismo de Atenção","2017","Attention Is All You Need","Modelar dependências longas com paralelismo sem recorrência","Aumentou escalabilidade de treinamento e qualidade em tradução e linguagem."
"Arquitetura Transformer","2017","Attention Is All You Need","Escalar modelos de linguagem com blocos de atenção e feed-forward","Núcleo arquitetural dos LLMs e da IA generativa contemporânea."
"Scaling Laws para LLMs","2020","Scaling Laws for Neural Language Models","Quantificar ganhos de desempenho com aumento de parâmetros, dados e compute","Guiou engenharia de treinamento em larga escala para modelos fundacionais."
"RLHF em Modelos de Linguagem","2022","Training language models to follow instructions with human feedback","Alinhar comportamento do modelo a preferências humanas","Viabilizou uso conversacional mais seguro e útil em produção."
