from_id,to_id,rel_type,prop_motivo
"Blaise Pascal","Pascaline","FEZ","Construiu calculadora mecânica para reduzir erro e custo de cálculo manual."
"Joseph-Marie Jacquard","Tear de Jacquard","FEZ","Aplicou cartões perfurados como controle programável de sequências mecânicas."
"Tear de Jacquard","Analytical Engine","INFLUENCIA","Paradigma de instruções em cartões inspirou mecanismos de programação mecânica."
"Gottfried Wilhelm Leibniz","Sistema Binário de Leibniz","FEZ","Formalizou notação binária e conectou representação discreta a cálculo mecânico em fonte primária de 1703."
"George Boole","Lógica Booleana","FEZ","Transformou lógica em álgebra simbólica, tornando possível implementação eletrônica por comutação."
"Augustus De Morgan","Leis de De Morgan","FEZ","Formalizou equivalências lógicas essenciais para simplificação algébrica de circuitos."
"Leis de De Morgan","Lógica Booleana","INFLUENCIA","Regras de transformação complementam álgebra booleana em manipulação de expressões."
"Alonzo Church","Cálculo Lambda","FEZ","Formalizou computação funcional e noções de computabilidade equivalentes ao modelo de Turing."
"Alan Turing","Máquina de Turing e Computabilidade","FEZ","Estabeleceu modelo formal de computação e limites de decidibilidade no problema da parada."
"Claude Shannon","Teoria da Informação","FEZ","Definiu entropia e capacidade de canal para comunicação confiável sob ruído."
"Claude Shannon","Lógica Booleana","INFLUENCIA","A tese de 1937 mostrou equivalência entre álgebra booleana e circuitos de relés/chaves."
"Sistema Binário de Leibniz","Lógica Booleana","INFLUENCIA","A representação binária fornece alfabeto mínimo operacional para formalismos lógicos digitais."
"Lógica Booleana","Máquina de Turing e Computabilidade","INFLUENCIA","A lógica formal sustenta a descrição de estados, símbolos e regras computacionais abstratas."
"Cálculo Lambda","Máquina de Turing e Computabilidade","INFLUENCIA","Modelos equivalentes consolidam noção de computação efetiva (tese Church-Turing)."
"Isaac Newton","Método de Diferenças Finitas","FEZ","Sistematizou técnicas de aproximação discreta que influenciaram cálculo numérico mecanizável."
"Método de Diferenças Finitas","Difference Engine","VIABILIZA","A técnica matemática define o mecanismo algorítmico central usado na geração de tabelas automáticas."
"Charles Babbage","Difference Engine","FEZ","Projetou máquina para computar tabelas polinomiais com menor erro humano."
"Charles Babbage","Analytical Engine","FEZ","Concebeu arquitetura programável de propósito geral com unidade de controle e memória."
"Ada Lovelace","Analytical Engine","INFLUENCIA","Descreveu algoritmo e interpretação não numérica de símbolos para a máquina analítica."
"Ada Lovelace","Charles Babbage","COLABOROU_COM","Lovelace documentou e expandiu aplicações da Analytical Engine em colaboração intelectual direta."
"Herman Hollerith","Tabulador de Hollerith","FEZ","Automatizou processamento censitário com cartões perfurados e leitura eletromecânica."
"Tabulador de Hollerith","Computadores a Válvulas","INFLUENCIA","Industrialização de processamento de dados precedeu computação eletrônica geral."
"John von Neumann","Arquitetura de Programa Armazenado","FEZ","Consolidou desenho lógico para máquinas eletrônicas de uso geral."
"Arquitetura de Programa Armazenado","Microprocessador","INFLUENCIA","Modelo ISA/memória orientou projeto de CPUs integradas."
"Computadores a Válvulas","Transistor de Junção","EVOLUI_PARA","Transistor reduziu consumo, calor e taxa de falhas, superando limitações práticas das válvulas."
"John Bardeen","Transistor de Junção","FEZ","Cocriou dispositivo semicondutor amplificador que iniciou nova era de eletrônica confiável."
"Walter Brattain","Transistor de Junção","FEZ","Participou da demonstração experimental de amplificação em estado sólido no Bell Labs."
